year,date,mm,period
21,7/15/1921,-129.5473958,1921-1940	
22,7/15/1922,-133.6473958,1921-1940		
23,7/15/1923,-129.5473958,1921-1940	
24,7/15/1924,-138.9807292,1921-1940	
25,7/15/1925,-138.4473958,1921-1940	
26,7/15/1926,-126.2807292,1921-1940	
27,7/15/1927,-127.7473958,1921-1940	
28,7/15/1928,-128.8807292,1921-1940	
29,7/15/1929,-129.0807292,1921-1940	
30,7/15/1930,-122.9140625,1921-1940	
31,7/15/1931,-126.7473958,1921-1940	
32,7/15/1932,-125.1473958,1921-1940	
33,7/15/1933,-119.9807292,1921-1940	
34,7/15/1934,-127.3473958,1921-1940	
35,7/15/1935,-118.1473958,1921-1940	
36,7/15/1936,-124.8140625,1921-1940	
37,7/15/1937,-119.8807292,1921-1940	
38,7/15/1938,-121.5473958,1921-1940	
39,7/15/1939,-101.4807292,1921-1940	
40,7/15/1940,-121.6807292,1921-1940